   Ars-CR      Control      Ars-AR   
  AS-cytoplasm-totalRNA      "Fresh cells-totalRNA"      AS-aggresome-totalRNA    
 "length in nucleotide" "intensity 1" "intensity 2" "intensity 3" average bar  "intensity 1" "intensity 2" "intensity 3" average bar  "intensity 1" "intensity 2" "intensity 3" average bar
26 855.150636182227 61.6438356096829 95.8904107292175 84 80.5114154463001 17.387772815853  1381.92857074734 1631.18094730046 2016.53696498054 1676.54882767611 319.727441636067  2075.14777101802 2033.74858406536 1962.87482151356 2023.92372553231 56.7776336377588
27 983.305474329274 75.6531576903394 75.342465854757 73 74.6652078483655 1.45045518299182  1347.20763545589 1590.62483909238 2164.39688715953 1700.74312056927 419.576089894975  2173.45835000511 2162.96777161356 1382.67491670633 1906.367012775 453.560990024876
28 1237.98494455626 61.6438356096829 89.3041426751447 73 74.6493260949425 13.9037172786454  1222.19275187727 1376.39709609935 886.186770428016 1161.59220613488 250.660847475041  1089.4772138883 777.273634312711 744.883388862446 870.544745687819 190.291490152208
29 1491.42810084025 62.0231858562166 61.6438356096829 53 58.8890071552998 5.10355568292987  1708.30625646539 1999.96621874737 842.412451361868 1516.89497552488 602.047664184954  835.79062322377 858.32789449397 867.682056163732 853.933524627157 16.393557839462
30 1742.59959374845 47.9452053646087 47.9452053646087 61.5 52.4634702430725 7.82586433155327  555.542159989667 859.067271221556 538.424124513619 651.011185241614 180.385027010585  404.129713429585 493.971878980179 340.314136125654 412.805242845139 77.1953631558719
31 2006.19955883408 62.0231858562166 47.9452053646087 56 55.3227970736084 7.06337996522615  410.241649548225 463.12544890536 196.498054474708 356.621717642764 141.169630899777  226.109936975791 209.454678527321 217.991432651119 217.85201605141 8.32850444182739
32 2312.66361663584 61.6438356096829 55.2209434460032 50.5 55.7882596852287 5.59353678904286  326.381019137676 322.140396150957 114.299610894942 254.273675394525 121.239637784963  179.246913156956 114.862242890749 144.217039504998 146.108731850901 32.2339931791069
33 2708.16287267674 68.8347645951962 41.6627570913246 39.5 49.9991738955069 16.3479046765536  340.340425541489 362.470081538903 119.649805447471 274.153437509288 134.260789729768  95.8814149509856 115.654405781298 122.322703474536 111.286174735607 13.7512369097408
34 3254.60391746787 34.2465751195346 41.0958902420717 33.5 36.2808217872021 4.1866462438433  138.885540122414 141.096124507958 82.1984435797665 120.726702736713 33.384753048061  82.1840703102051 87.8358330563541 90.4331270823417 86.8176768163003 4.21772640226385
35 4029.62882650364 41.0958902420717 27.3972604901482 50.5 39.6643835774066 11.6177042359174  90.2756012295654 93.95761528229 81.7120622568093 88.6484262562216 6.28284696776647  82.4689377203535 87.8358330563541 117.087101380295 95.7972907190009 18.6317717859094
36 5126.61516026291 55.2209434460032 41.0958902420717 33.5 43.272277896025 11.0228101435763  83.3313241734459 100.892334324958 87.0622568093385 90.4286384359141 9.25184648203737  89.0327428771476 67.5660253157012 96.1446930033318 84.2478203987269 14.8780601572711
37 6654.67596421414 34.2465751195346 34.2465751195346 46 38.1643834130231 6.78584301863675  76.3870471173264 80.5350991585418 70.5252918287938 75.815812701554 5.02929341587775  75.3353977432626 60.8094227354835 80.4378867206092 72.1942357331184 10.1842684412934
38 8738.65976880584 27.3972604901482 21.6594359976264 28 25.6855654959249 3.49973038704211  62.4984930050874 87.5041019928527 81.7120622568093 77.2382190849165 13.0893687684804  82.4689377203535 74.3226278959188 63.7791527843884 73.5235728002202 9.37047928457389
39 11519.150589477 41.0958902420717 36.8846906260948 34 37.3268602893888 3.56855013839448  69.4427700612069 80.5350991585418 59.8249027237354 69.9342573144947 10.3638423802263  68.8283069914355 67.9030150828136 80.4378867206092 72.3897362649528 6.98524055396108
40 15152.4679266482 47.9452053646087 34.2465751195346 46 42.7305934947144 7.41146961272981  69.4427700612069 88.2728204655571 81.7120622568093 79.8092175945244 9.55815426294124  61.6380526093777 47.2962175750482 85.1975249881009 64.7105983908423 19.1365534799001
