#Settings
#Ntime 4096000
#Nprint 40960
#tstart 0.000000e+00
#LX 1.000000e+03
#LY 3.000000e+03
#dx 5.000000e+01
#NX 20
#NY 60
#DA 0.000000e+00
#DBin 1.000000e-04
#DBout 4.000000e-04
#epsAA -2.000000e+00
#epsAB -2.500000e+00
#DBout 4.000000e-04
#nA 4.000000e+02
#nB 3.200000e+02
#tbleach 6.000000e+02
#Xbleach 1.000000e+01
#Ybleach 1.000000e+01
#bleach_radius[micron] 3.700000e-01
#==
Fixed Aggresome Mode - Number of proteins override:
#nA 3.370000e+02
#nB 3.370000e+02
    #time[s]  frap[#proteins]        Ahops        Bhops  accepted[%]     cin/cout
6.000501e+02     0.000000e+00            0        37368          4.1     3.60e+00
6.000747e+02     0.000000e+00            0        37372          4.1     3.60e+00
6.001054e+02     0.000000e+00            0        37375          4.1     3.60e+00
6.001494e+02     0.000000e+00            0        37378          4.1     3.60e+00
6.002192e+02     0.000000e+00            0        37385          4.1     3.60e+00
6.003138e+02     0.000000e+00            0        37388          4.1     3.60e+00
6.004540e+02     0.000000e+00            0        37403          4.1     3.60e+00
6.006796e+02     0.000000e+00            0        37418          4.1     3.56e+00
6.010391e+02     1.165803e-02            0        37433          4.1     3.56e+00
6.015469e+02     1.166360e-02            0        37465          4.1     3.56e+00
6.023502e+02     1.167542e-02            0        37504          4.1     3.60e+00
6.034879e+02     2.337229e-02            0        37579          4.1     3.60e+00
6.052511e+02     2.342918e-02            0        37686          4.1     3.60e+00
6.079048e+02     5.858380e-02            0        37843          4.1     3.60e+00
6.118757e+02     8.195122e-02            0        38092          4.1     3.65e+00
6.145309e+02     9.367681e-02            0        38247          4.1     3.56e+00
6.267112e+02     1.055005e-01            0        39097          4.1     3.39e+00
6.401285e+02     1.170859e-01            0        39979          4.1     3.56e+00
6.412352e+02     1.052192e-01            0        40061          4.1     3.65e+00
6.678221e+02     1.401530e-01            0        41813          4.1     3.56e+00
6.945660e+02     1.632336e-01            0        43490          4.1     3.52e+00
7.212192e+02     1.515607e-01            0        45207          4.1     3.47e+00
