#Settings
#Ntime 4096000
#Nprint 40960
#tstart 0.000000e+00
#LX 1.000000e+03
#LY 3.000000e+03
#dx 5.000000e+01
#NX 20
#NY 60
#DA 0.000000e+00
#DBin 1.000000e-04
#DBout 4.000000e-04
#epsAA -2.000000e+00
#epsAB -2.500000e+00
#DBout 4.000000e-04
#nA 4.000000e+02
#nB 3.200000e+02
#tbleach 6.000000e+02
#Xbleach 1.000000e+01
#Ybleach 3.333333e+00
#bleach_radius[micron] 3.700000e-01
#==
Fixed Aggresome Mode - Number of proteins override:
#nA 3.350000e+02
#nB 3.350000e+02
    #time[s]  frap[#proteins]        Ahops        Bhops  accepted[%]     cin/cout
1.811368e+03     4.990958e-01            0       117403          4.2     2.20e+00
1.838159e+03     4.992566e-01            0       119063          4.2     2.30e+00
1.864775e+03     4.131649e-01            0       120789          4.2     2.30e+00
1.891182e+03     4.790941e-01            0       122439          4.2     2.28e+00
1.918090e+03     4.789459e-01            0       124087          4.2     2.28e+00
1.944903e+03     4.789370e-01            0       125830          4.2     2.28e+00
1.971589e+03     4.790620e-01            0       127511          4.2     2.28e+00
1.997938e+03     4.142975e-01            0       129089          4.2     2.25e+00
2.024471e+03     4.365621e-01            0       130778          4.2     2.09e+00
2.051118e+03     5.455280e-01            0       132484          4.2     2.30e+00
2.077845e+03     4.371002e-01            0       134132          4.2     2.42e+00
2.104280e+03     4.157659e-01            0       135795          4.2     2.45e+00
2.130924e+03     4.817518e-01            0       137458          4.2     2.45e+00
2.157657e+03     4.165592e-01            0       139089          4.2     2.36e+00
2.184342e+03     4.608318e-01            0       140721          4.2     2.25e+00
2.211136e+03     4.174242e-01            0       142355          4.2     2.28e+00
2.237838e+03     4.836373e-01            0       144072          4.2     2.30e+00
2.264453e+03     4.404850e-01            0       145767          4.2     2.25e+00
2.291076e+03     4.628949e-01            0       147530          4.2     2.20e+00
2.317636e+03     3.973799e-01            0       149258          4.2     2.14e+00
2.344257e+03     4.418828e-01            0       150985          4.2     2.22e+00
2.370826e+03     4.420152e-01            0       152772          4.2     2.07e+00
2.397552e+03     4.862450e-01            0       154672          4.2     2.14e+00
2.424293e+03     4.201583e-01            0       156339          4.2     2.07e+00
2.450887e+03     4.203734e-01            0       157977          4.2     2.02e+00
2.477573e+03     3.987212e-01            0       159621          4.2     2.02e+00
2.504233e+03     4.649797e-01            0       161442          4.2     2.04e+00
2.530944e+03     4.209937e-01            0       163168          4.2     1.90e+00
2.557666e+03     3.550821e-01            0       164801          4.2     1.90e+00
2.584353e+03     3.556338e-01            0       166474          4.2     1.99e+00
2.611083e+03     4.003489e-01            0       168222          4.2     2.02e+00
2.637521e+03     4.452129e-01            0       169938          4.2     2.04e+00
2.664117e+03     3.788301e-01            0       171664          4.2     1.99e+00
